poc_filename,v8_version_tested,issue_report_date,flags_used
00.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
01.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
02.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
03.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
04.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
05.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
06.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
07.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
08.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
09.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
10.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
11.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
12.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
13.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
14.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
15.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
16.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
17.js,11.0.140,2022-11-30,--allow-natives-syntax
18.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
19.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
DivI.js,11.0.140,2022-11-30,--allow-natives-syntax --no-use-osr
MathExp.js,11.0.140,2022-11-30,--allow-natives-syntax
MulI.js,11.0.140,2022-11-30,--allow-natives-syntax --no-use-osr
StoreKeyed.js,11.0.140,2022-11-30,--allow-natives-syntax --no-use-osr
StoreKeyedExternal.js,11.0.140,2022-11-30,--allow-natives-syntax --no-use-osr
abstract-equal-oddball.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan --no-always-turbofan
abstract-equal-receiver.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan --noalways-turbofan
abstract-equal-symbol.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan --noalways-turbofan
abstract-equal-undetectable.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan --noalways-turbofan
accessor-exceptions1.js,11.0.140,2022-11-30,--allow-natives-syntax
accessor-exceptions2.js,11.0.140,2022-11-30,--allow-natives-syntax
accessor-map-sharing.js,11.0.140,2022-11-30,--allow-natives-syntax
accessors-no-prototype.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
accessors-on-global-object.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
adapter-frame.js,11.0.140,2022-11-30,--expose-wasm
add-getters.js,11.0.140,2022-11-30,--expose-wasm
add-number.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
add-smi.js,11.0.140,2022-11-30,--allow-natives-syntax --maglev
add.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
aggregate-error.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
alloc-number.js,11.0.140,2022-11-30,--max-semi-space-size
alloc-object-huge.js,11.0.140,2022-11-30,--allow-natives-syntax
alloc-object.js,11.0.140,2022-11-30,--allow-natives-syntax
allocation-folding.js,11.0.140,2022-11-30,--allow-natives-syntax --nouse-osr --expose-gc
allocation-site-info.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc --turbofan --no-always-turbofan
and.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
anyfunc.js,11.0.140,2022-11-30,--expose-wasm --expose-gc
api-call-after-bypassed-exception.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
api-methods.js,11.0.140,2022-11-30,--expose-async-hooks
apply-arguments-gc-safepoint.js,11.0.140,2022-11-30,--expose-gc
apply.js,11.0.140,2022-11-30,--allow-natives-syntax
argument-assigned.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
argument-named-arguments.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
argument-over-under-application.js,11.0.140,2022-11-30,--maglev --allow-natives-syntax
arguments-apply-deopt.js,11.0.140,2022-11-30,--allow-natives-syntax
arguments-apply.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
arguments-call-apply.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
arguments-deopt.js,11.0.140,2022-11-30,--allow-natives-syntax
arguments-enum.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
arguments-escape.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
arguments-indirect.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
arguments-iterator.js,11.0.140,2022-11-30,--allow-natives-syntax
arguments-lazy.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
arguments-load-across-eval.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
arguments-object.js,11.0.140,2022-11-30,--allow-natives-syntax --noturbo-inlining
arguments-read-and-assignment.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
arguments.js,11.0.140,2022-11-30,--allow-natives-syntax
array-access.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-bounds-check-removal.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc --no-always-turbofan --turbofan
array-buffer-detach-key.js,11.0.140,2022-11-30,--allow-natives-syntax
array-buffer-is-view.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan
array-concat-arity.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-array-proto-getter.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-array-proto.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-array-subclass.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-arraylike-length-throws.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-arraylike-length-tostring-throws.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-arraylike-length-valueof-throws.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-arraylike-negative-length.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-arraylike-primitive-nonnumber-length.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-arraylike-string-length.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-arraylike.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-descriptor.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-holey-array.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-isconcatspreadable-getter-throws.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-length-throws.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-no-prototype.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-nonarray.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-object-proto-dict-getter.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-object-proto-dict.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-object-proto-generic-dict.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-object-proto.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-revoked-proxy-1.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-revoked-proxy-2.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-sloppy-arguments-holey.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-sloppy-arguments-throws.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-sloppy-arguments-with-dupes.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-sloppy-arguments.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-arraylike-proxy-bogus-length.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-arraylike-proxy-length.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-arraylike-proxy.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-boolean-wrapper.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-function.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-nonarraylike-proxy.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-number-wrapper.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-regexp.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-sparse-object.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-spreadable-string-wrapper.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-strict-arguments.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-typedarray.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-unspreadable-array-subclass.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-unspreadable-array.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-unspreadable-arraylike-proxy.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat-unspreadable-nonarraylike-proxy.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-concat.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-construct-transition.js,11.0.140,2022-11-30,--allow-natives-syntax
array-constructor-2.js,11.0.140,2022-11-30,--allow-natives-syntax
array-constructor-feedback.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc --no-always-turbofan --turbofan
array-constructor.js,11.0.140,2022-11-30,--allow-natives-syntax
array-copy-benchmark.js,11.0.140,2022-11-30,--experimental-wasm-gc --no-liftoff --experimental-wasm-nn-locals
array-copywithin.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-elements-from-array-prototype-chain.js,11.0.140,2022-11-30,---some
array-elements-from-array-prototype.js,11.0.140,2022-11-30,---some
array-elements-from-object-prototype.js,11.0.140,2022-11-30,---some
array-every.js,11.0.140,2022-11-30,--allow-natives-syntax
array-feedback.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc --turbofan --no-always-turbofan
array-fill-receiver.js,11.0.140,2022-11-30,--allow-natives-syntax
array-fill.js,11.0.140,2022-11-30,--allow-natives-syntax
array-find.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-findindex.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-findlast-unscopables.js,11.0.140,2022-11-30,--harmony-array-find-last
array-flat-species.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-flat.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-flatMap-species.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-flatMap.js,11.0.140,2022-11-30,--allow-natives-syntax
array-foreach.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-from-large-set.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-from.js,11.0.140,2022-11-30,---
array-functions-prototype-misc.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-functions-prototype.js,11.0.140,2022-11-30,----------------------------------------------------------------------
array-includes-receiver.js,11.0.140,2022-11-30,--allow-natives-syntax
array-includes-simd.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-includes-to-object-sloppy.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-includes-to-object-strict.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-includes.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-indexing-receiver.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-indexing.js,11.0.140,2022-11-30,----------------------------------------------------------------------
array-indexof-simd.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-init-from-segment.js,11.0.140,2022-11-30,--experimental-wasm-gc
array-is-array.js,11.0.140,2022-11-30,--allow-natives-syntax
array-isarray.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-iteration.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-iterator-2.js,11.0.140,2022-11-30,--allow-natives-syntax
array-iterator-detached.js,11.0.140,2022-11-30,--allow-natives-syntax
array-iterator-prototype-next.js,11.0.140,2022-11-30,--allow-natives-syntax
array-iterator-turbo.js,11.0.140,2022-11-30,--turbo-escape --allow-natives-syntax --no-always-turbofan
array-iterator.js,11.0.140,2022-11-30,--allow-natives-syntax
array-join-element-tostring-prototype-side-effects.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-join-element-tostring-side-effects.js,11.0.140,2022-11-30,--allow-natives-syntax
array-join-index-getter-side-effects.js,11.0.140,2022-11-30,--allow-natives-syntax
array-join-invalid-string-length.js,11.0.140,2022-11-30,--allow-natives-syntax
array-join-nesting.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-join-nonarray-length-getter-side-effects.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-join-separator-tostring-side-effects.js,11.0.140,2022-11-30,--allow-natives-syntax
array-join.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-lastindexof.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-length-number-conversion.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-length.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-literal-feedback.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc --turbofan --no-always-turbofan --deopt-every-n-times
array-literal-transitions.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc --ignition-osr --no-always-turbofan
array-methods-read-only-length.js,11.0.140,2022-11-30,--allow-natives-syntax
array-multiple-receiver-maps.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan --no-always-turbofan
array-natives-elements.js,11.0.140,2022-11-30,--allow-natives-syntax
array-next-1.js,11.0.140,2022-11-30,--allow-natives-syntax
array-next-2.js,11.0.140,2022-11-30,--allow-natives-syntax
array-non-smi-length.js,11.0.140,2022-11-30,--allow-natives-syntax
array-of.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-pop.js,11.0.140,2022-11-30,--allow-natives-syntax
array-prototype-every.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-filter.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-find.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-findindex.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-findlast.js,11.0.140,2022-11-30,--harmony-array-find-last
array-prototype-findlastindex.js,11.0.140,2022-11-30,--harmony-array-find-last
array-prototype-foreach.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-groupby-fast-path-assumptions.js,11.0.140,2022-11-30,--harmony-array-grouping
array-prototype-groupby.js,11.0.140,2022-11-30,--harmony-array-grouping
array-prototype-groupbytomap.js,11.0.140,2022-11-30,--harmony-array-grouping
array-prototype-includes.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-indexof.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-lastindexof.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-map.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-pop.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-reduce.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-slice.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-some.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-prototype-values.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-push-1.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan
array-push-2.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan
array-push-3.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan
array-push-hole-double.js,11.0.140,2022-11-30,--allow-natives-syntax
array-push-non-smi-value.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-push.js,11.0.140,2022-11-30,--allow-natives-syntax
array-push10.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-push11.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-push12.js,11.0.140,2022-11-30,--allow-natives-syntax
array-push13.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-push14.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-push2.js,11.0.140,2022-11-30,--allow-natives-syntax --expose-gc
array-push3.js,11.0.140,2022-11-30,--allow-natives-syntax
array-push4.js,11.0.140,2022-11-30,--allow-natives-syntax
array-push5.js,11.0.140,2022-11-30,--allow-natives-syntax --turbofan --no-always-turbofan
array-push6.js,11.0.140,2022-11-30,--allow-natives-syntax
array-push8.js,11.0.140,2022-11-30,--allow-natives-syntax
