poc_filename,v8_version_tested,issue_report_date,flags_used
Array-isArray.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Array.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Boolean.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Date-setYear.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Error.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
GlobalObject.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
JSON-parse-reviver.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
JSON-stringify-replacer.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
JSON-stringify.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Number.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Object-create.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Object-defineProperties.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Object-defineProperty.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Object-keys.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Object.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
Promise-already-rejected.js,13.7.5,2025-03-31,--harmony
Promise-already-resolved.js,13.7.5,2025-03-31,--harmony
Promise-catch.js,13.7.5,2025-03-31,--harmony --ignore-unhandled-promises
Promise-chained-then.js,13.7.5,2025-03-31,--harmony
Promise-exception.js,13.7.5,2025-03-31,--harmony
Promise-init-callback-receiver.js,13.7.5,2025-03-31,--harmony
Promise-init.js,13.7.5,2025-03-31,--harmony
Promise-onFulfilled-deep.js,13.7.5,2025-03-31,--harmony
Promise-onRejected-deep.js,13.7.5,2025-03-31,--harmony
Promise-reject.js,13.7.5,2025-03-31,--harmony
Promise-resolve-chain.js,13.7.5,2025-03-31,--harmony
Promise-resolve-state.js,13.7.5,2025-03-31,--harmony
Promise-resolve-with-itself.js,13.7.5,2025-03-31,--harmony
Promise-resolve-with-then-exception.js,13.7.5,2025-03-31,--harmony
Promise-resolve-with-then-fulfill.js,13.7.5,2025-03-31,--harmony
Promise-resolve-with-then-reject.js,13.7.5,2025-03-31,--harmony
Promise-resolve.js,13.7.5,2025-03-31,--harmony
Promise-simple.js,13.7.5,2025-03-31,--harmony
Promise-static-all.js,13.7.5,2025-03-31,--harmony --ignore-unhandled-promises
Promise-static-cast.js,13.7.5,2025-03-31,--harmony
Promise-static-race.js,13.7.5,2025-03-31,--harmony --ignore-unhandled-promises
Promise-static-reject.js,13.7.5,2025-03-31,--harmony
Promise-static-resolve.js,13.7.5,2025-03-31,--harmony
Promise-then-callback-receiver.js,13.7.5,2025-03-31,--harmony
Promise-then-without-callbacks.js,13.7.5,2025-03-31,--harmony
Promise-then.js,13.7.5,2025-03-31,--harmony
Prototype.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
RegExp.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
ToNumber.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
add-recovery.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
alternative-length-miscalculation.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
apply-varargs.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
arguments-bad-index.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
arguments-scope.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
arguments.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-bad-time.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-constructor-host-call.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-defineOwnProperty.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-enumerators-functions.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-every.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-filter.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-float-delete.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-functions-non-arrays.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-holes.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-index-immediate-types.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-indexing.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-iterate-backwards.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-lastIndexOf.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
array-proto-func-length-getter-except.js,13.7.5,2025-03-31,--allow-natives-syntax --expose-gc
